category,name,definition
Spellcasting,Preparing and Casting Spells,"The Cleric table shows how many spell slots you have to cast your spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell’s level or higher. You regain all expended spell slots when you finish a long rest.

You prepare the list of Cleric spells that are available for you to cast, choosing from the Cleric spell list. When you do so, choose a number of Cleric spells equal to your Wisdom modifier + your Cleric level (minimum of one spell). The spells must be of a level for which you have spell slots.

For example, if you are a 3rd-level Cleric, you have four 1st-level and two 2nd-level spell slots. With a Wisdom of 16, your list of prepared spells can include six spells of 1st or 2nd level, in any combination. If you prepare the 1st-level spell Cure Wounds, you can cast it using a 1st-level or 2nd-level slot. Casting the spell doesn’t remove it from your list of prepared spells.

You can change your list of prepared spells when you finish a long rest. Preparing a new list of Cleric spells requires time spent in prayer and meditation: at least 1 minute per spell level for each spell on your list."
Spellcasting,Spellcasting Ability,"Wisdom is your spellcasting ability for your Cleric spells. The power of your spells comes from your devotion to your deity. You use your Wisdom whenever a Cleric spell refers to your spellcasting ability. In addition, you use your Wisdom modifier when setting the saving throw DC for a Cleric spell you cast and when making an attack roll with one.

**Spell save DC** = 8 + your proficiency bonus + your Wisdom modifier

**Spell attack modifier** = your proficiency bonus + your Wisdom modifier"
Spellcasting,Ritual Casting,You can cast a Cleric spell as a ritual if that spell has the ritual tag and you have the spell prepared.
Spellcasting,Spellcasting Focus,"You can use a holy symbol (see chapter XX, “Equipment”) as a spellcasting focus for your Cleric spells."
Cleric,Divine Domain,"Choose one domain related to your deity. Your choice grants you domain spells and other features when you choose it at 1st level. It also grants you additional ways to use Channel Divinity when you gain that feature at 2nd level, and additional benefits at 6th, 8th, and 17th levels."
Divine Domain,Domain Spells,"Each domain has a list of spells—its domain spells—that you gain at the Cleric levels noted in the domain description. Once you gain a domain spell, you always have it prepared, and it doesn’t count against the number of spells you can prepare each day.

If you have a domain spell that doesn’t appear on the Cleric spell list, the spell is nonetheless a Cleric spell for you."
Cleric,Channel Divinity,"At 2nd level, you gain the ability to channel divine energy directly from your deity, using that energy to fuel magical effects. You start with two such effects: Turn Undead and an effect determined by your domain. Some domains grant you additional effects as you advance in levels, as noted in the domain description.

When you use your Channel Divinity, you choose which effect to create. You must then finish a short or long rest to use your Channel Divinity again.

Some Channel Divinity effects require saving throws. When you use such an effect from this class, the DC equals your Cleric spell save DC.

Beginning at 6th level, you can use your Channel Divinity twice between rests, and beginning at 18th level, you can use it three times between rests. When you finish a short or long rest, you regain your expended uses."
Channel Divinity,Channel Divinity: Turn Undead,"As an action, you present your holy symbol and speak a prayer censuring the undead. Each undead that can locate locate  see or hear you within 30 feet of you must make a Wisdom saving throw. If the creature fails its saving throw, it is turned for 1 minute or until it takes any damage.

A turned creature must spend its turns trying to move as far away from you as it can, and it can’t willingly move to a space within 30 feet of you. It also can’t take reactions. For its action, it can use only the Dash action or try to escape from an effect that prevents it from moving. If there’s nowhere to move, the creature can use the Dodge action."
Cleric,Ability Score Improvement,"At levels 4, 8, 12, 16, and 19, you can increase one ability score by 2 or two ability scores by 1, up to a maximum of 20."
Cleric,Destroy Undead,"Cleric Level | Destroys Undead of CR...
5th | 1/2 or lower
8th | 1 or lower
11th | 2 or lower
14th | 3 or lower
17th | 4 or lower"
Cleric,Divine Intervention,"Beginning at 10th level, you can call on your deity to intervene on your behalf when your need is great.

Imploring your deity’s aid requires you to use your action. Describe the assistance you seek, and roll percentile dice. If you roll a number equal to or lower than your Cleric level, your deity intervenes. The GM chooses the nature of the intervention; the effect of any Cleric spell or Cleric domain spell would be appropriate.

If your deity intervenes, you can’t use this feature again for 7 days. Otherwise, you can use it again after you finish a long rest.

At 20th level, your call for intervention succeeds automatically, no roll required."
Cleric,Cleric Domains,
Cleric Domains,Life Domain,"Cleric Level | Spells
1st | Bless, Cure Wounds
3rd | Lesser Restoration, Spiritual Weapon
5th | Beacon of Hope, Revivify
7th | Death Ward, Guardian of Faith
9th | Mass Cure Wounds, Raise Dead"
Life Domain,Bonus Proficiency,"When you choose this domain at 1st level, you gain proficiency with heavy armor."
Life Domain,Disciple of Life,"Also starting at 1st level, your healing spells are more effective. Whenever you use a spell of 1st level or higher to restore hit points to a creature, the creature regains additional hit points equal to 2 + the spell’s level."
Life Domain,Channel Divinity: Preserve Life,"Starting at 2nd level, you can use your Channel Divinity to heal the badly injured.

As an action, you present your holy symbol and evoke healing energy that can restore a number of hit points equal to five times your Cleric level. Choose any creatures within 30 feet of you, and divide those hit points among them. This feature can restore a creature to no more than half of its hit point maximum. You can’t use this feature on an undead or a construct."
Life Domain,Blessed Healer,"Beginning at 6th level, the healing spells you cast on others heal you as well. When you cast a spell of 1st level or higher that restores hit points to a creature other than you, you regain hit points equal to 2 + the spell’s level."
Life Domain,Divine Strike,"At 8th level, you gain the ability to infuse your weapon strikes with divine energy. Once on each of your turns when you hit a creature with a weapon attack, you can cause the attack to deal an extra 1d8 radiant damage to the target. When you reach 14th level, the extra damage increases to 2d8."
Life Domain,Supreme Healing,"Starting at 17th level, when you would normally roll one or more dice to restore hit points with a spell, you instead use the highest number possible for each die. For example, instead of restoring 2d6 hit points to a creature, you restore 12."
Cleric Domains,Martyr Domain,"Followers of gods that believe in taking on the suffering of those around them. Stalwart and unflinching, these intrepid souls seek to ease the suffering of those around them. While typically altruistic, sometimes their motivations are further afield, belonging to strange cults of suffering or acceptance."
Martyr Domain,Martyr Domain Features,
Martyr Domain,Domain Spells,"Cleric Level | Spells
1st | Cure Wounds, Shield of Faith
3rd | Lesser Restoration, Warding Bond
5th | Remove Curse, Revivify
7th | Death Ward, Resilient Sphere
9th | Greater Restoration, Mass Cure Wounds"
Martyr Domain,Clad in Grace,"Starting at 1st level, while you are not wearing any armor, your Armor Class equals 10 + your Constitution modifier + your Wisdom modifier. You can use a shield and still gain this benefit."
Martyr Domain,Relieve Suffering,"Starting at 1st level, when you cast a spell of 1st level or higher that restores hit points, you can expend some of your own hit points to increase the amount another creature that is healed by the spell regains, expending a number of hit points up to your Cleric level to increase the amount one creature is healed by an equivalent value.

Additionally, you can touch a creature suffering a disease or the blinded, deafened, paralyzed or poisoned condition and transfer that disease or condition to yourself. Starting at 9th level, the range of conditions you can take increases, including exhaustion (1 level at a time), petrified, stunned, the effect of a curse, or any reduction to their ability scores. You are afflicted by the effect in the same manner the creature you took it was, for the same duration and possible methods of ending the effect.

You can transfer a condition affecting another creature to yourself a number of times equal to your Wisdom modifier, regaining all uses on a long rest."
Martyr Domain,Channel Divinity: Bear the Burden,"Starting at 2nd level, you can use your Channel Divinity to bring all the suffering your allies suffer onto yourself.

As an action, you present your holy symbol and enter a divine trance. Until the start of your next turn, your movement speed becomes zero and you gain temporary hit points equal to twice your Cleric level. Any time an allied creature within 30 feet of you takes damage, they have resistance to the damage taken, but you take damage equal to the damage they take."
Martyr Domain,Overcome Adversity,"Starting at 6th level, when you use your Relieve Suffering to take the condition affecting a creature, you can repeat the original saving throw against the feature if it had one. On success, the condition ends instead of being transferred.

Additionally, when you take damage as a result of the Warding Bond spell, you have resistance to that damage."
Martyr Domain,Divine Empowerment,"At 8th level, pick one of the following options:"
Martyr Domain,Divine Strike,"At 8th level, you gain the ability to infuse your weapon strikes with divine energy. Once on each of your turns when you hit a creature with a weapon attack made as part of the attack action, you can cause the attack to deal an extra 1d8 radiant damage to the target.

When you reach 11th level, the extra damage increases to 2d8, and when you reach 17th level, the extra damage increases to 3d8."
